dioceses
Birmingham 
Fairbanks 
Juneau 
Phoenix 
Tucson 
Little Rock 
Fresno 
Monterey 
Oakland 
Orange 
Sacramento 
San Bernardino 
San Diego 
San Jose 
Santa Rosa 
Stockton 
Colorado Springs 
Pueblo 
Bridgeport 
Norwich 
Wilmington 
Orlando 
Palm Beach 
Pensacola-Tallahassee 
St. Augustine 
St. Petersburg 
Venice 
Savannah 
Honolulu 
Boise 
Belleville 
Joliet 
Peoria 
Rockford 
Springfield in Illinois 
Evansville 
Fort Wayne-South Bend 
Gary 
Lafayette in Indiana 
Davenport 
Des Moines 
Sioux City 
Dodge City 
Salina 
Wichita 
Covington 
Lexington 
Owensboro 
Alexandria 
Baton Rouge 
Houma-Thibodaux 
Lafayette in Louisiana 
Lake Charles 
Shreveport 
Portland in Maine 
Fall River 
Springfield in Massachusetts 
Worcester 
Gaylord 
Grand Rapids 
Kalamazoo 
Lansing 
Marquette 
Saginaw 
Crookston 
Duluth 
New Ulm 
St. Cloud 
Winona-Rochester 
Biloxi 
Jackson 
Jefferson City 
Kansas City-St. Joseph 
Springfield-Cape Girardeau 
Great Falls-Billings 
Helena 
Grand Island 
Lincoln 
Las Vegas 
Reno 
Manchester 
Camden 
Metuchen 
Paterson 
Trenton 
Gallup 
Las Cruces 
Albany 
Brooklyn 
Buffalo 
Ogdensburg 
Rochester 
Rockville Centre 
Syracuse 
Charlotte 
Raleigh 
Bismarck 
Fargo 
Cleveland 
Columbus 
Steubenville 
Toledo 
Youngstown 
Tulsa 
Baker 
Allentown 
Altoona-Johnstown 
Erie 
Greensburg 
Harrisburg 
Pittsburgh 
Scranton 
Providence 
Charleston 
Rapid City 
Sioux Falls 
Knoxville 
Memphis 
Nashville 
Amarillo 
Austin 
Beaumont 
Brownsville 
Corpus Christi 
Dallas 
El Paso 
Fort Worth 
Laredo 
Lubbock 
San Angelo 
Tyler 
Victoria 
Salt Lake City 
Burlington 
St. Thomas
Arlington 
Richmond 
Spokane 
Yakima 
Wheeling-Charleston 
Green Bay 
La Crosse 
Madison 
Superior 
Cheyenne 
