"7","Miami"_1990,1,
"7","Miami"_1991,0,
"7","Miami"_1992,0,
"7","Miami"_1993,1,
"7","Miami"_1994,0,
"7","Miami"_1995,0,
"7","Miami"_1996,0,
"7","Miami"_1997,0,
"7","Miami"_1998,1,
"7","Miami"_1999,3,
"7","Miami"_2000,0,
"7","Miami"_2001,0,
"7","Miami"_2002,2,
"7","Miami"_2003,4,
"7","Miami"_2004,1,
"7","Miami"_2005,0,
"7","Miami"_2006,3,
"7","Miami"_2007,2,
"7","Miami"_2008,12,
"7","Miami"_2009,0,
"7","Miami"_2010,2,
"7","Miami"_2011,3,
"7","Miami"_2012,1,
"7","Miami"_2013,0,
"7","Miami"_2014,0,
"7","Miami"_2015,0,
"7","Miami"_2016,1,
"7","Miami"_2017,0,
"7","Miami"_2018,0,
"7","Miami"_2019,8,
"8","Atlanta"_1990,1,
"8","Atlanta"_1991,0,
"8","Atlanta"_1992,0,
"8","Atlanta"_1993,1,
"8","Atlanta"_1994,1,
"8","Atlanta"_1995,0,
"8","Atlanta"_1996,0,
"8","Atlanta"_1997,0,
"8","Atlanta"_1998,0,
"8","Atlanta"_1999,1,
"8","Atlanta"_2000,0,
"8","Atlanta"_2001,0,
"8","Atlanta"_2002,7,
"8","Atlanta"_2003,3,
"8","Atlanta"_2004,4,
"8","Atlanta"_2005,5,
"8","Atlanta"_2006,2,
"8","Atlanta"_2007,5,
"8","Atlanta"_2008,11,
"8","Atlanta"_2009,3,
"8","Atlanta"_2010,4,
"8","Atlanta"_2011,1,
"8","Atlanta"_2012,6,
"8","Atlanta"_2013,4,
"8","Atlanta"_2014,2,
"8","Atlanta"_2015,4,
"8","Atlanta"_2016,2,
"8","Atlanta"_2017,2,
"8","Atlanta"_2018,5,
"8","Atlanta"_2019,4,
"9","Chicago"_1990,1,
"9","Chicago"_1991,0,
"9","Chicago"_1992,0,
"9","Chicago"_1993,2,
"9","Chicago"_1994,0,
"9","Chicago"_1995,0,
"9","Chicago"_1996,0,
"9","Chicago"_1997,0,
"9","Chicago"_1998,1,
"9","Chicago"_1999,0,
"9","Chicago"_2000,0,
"9","Chicago"_2001,0,
"9","Chicago"_2002,15,
"9","Chicago"_2003,9,
"9","Chicago"_2004,3,
"9","Chicago"_2005,4,
"9","Chicago"_2006,4,
"9","Chicago"_2007,6,
"9","Chicago"_2008,10,
"9","Chicago"_2009,6,
"9","Chicago"_2010,3,
"9","Chicago"_2011,8,
"9","Chicago"_2012,3,
"9","Chicago"_2013,2,
"9","Chicago"_2014,8,
"9","Chicago"_2015,12,
"9","Chicago"_2016,1,
"9","Chicago"_2017,0,
"9","Chicago"_2018,15,
"9","Chicago"_2019,15,
"10","Fort Wayne - South Bend"_1990,0,
"10","Fort Wayne - South Bend"_1991,0,
"10","Fort Wayne - South Bend"_1992,0,
"10","Fort Wayne - South Bend"_1993,0,
"10","Fort Wayne - South Bend"_1994,0,
"10","Fort Wayne - South Bend"_1995,0,
"10","Fort Wayne - South Bend"_1996,0,
"10","Fort Wayne - South Bend"_1997,0,
"10","Fort Wayne - South Bend"_1998,0,
"10","Fort Wayne - South Bend"_1999,0,
"10","Fort Wayne - South Bend"_2000,0,
"10","Fort Wayne - South Bend"_2001,0,
"10","Fort Wayne - South Bend"_2002,3,
"10","Fort Wayne - South Bend"_2003,0,
"10","Fort Wayne - South Bend"_2004,0,
"10","Fort Wayne - South Bend"_2005,0,
"10","Fort Wayne - South Bend"_2006,1,
"10","Fort Wayne - South Bend"_2007,0,
"10","Fort Wayne - South Bend"_2008,2,
"10","Fort Wayne - South Bend"_2009,0,
"10","Fort Wayne - South Bend"_2010,0,
"10","Fort Wayne - South Bend"_2011,0,
"10","Fort Wayne - South Bend"_2012,3,
"10","Fort Wayne - South Bend"_2013,4,
"10","Fort Wayne - South Bend"_2014,0,
"10","Fort Wayne - South Bend"_2015,0,
"10","Fort Wayne - South Bend"_2016,0,
"10","Fort Wayne - South Bend"_2017,0,
"10","Fort Wayne - South Bend"_2018,4,
"10","Fort Wayne - South Bend"_2019,0,
"11","Indianapolis"_1990,1,
"11","Indianapolis"_1991,0,
"11","Indianapolis"_1992,0,
"11","Indianapolis"_1993,0,
"11","Indianapolis"_1994,0,
"11","Indianapolis"_1995,0,
"11","Indianapolis"_1996,0,
"11","Indianapolis"_1997,0,
"11","Indianapolis"_1998,0,
"11","Indianapolis"_1999,0,
"11","Indianapolis"_2000,0,
"11","Indianapolis"_2001,0,
"11","Indianapolis"_2002,4,
"11","Indianapolis"_2003,1,
"11","Indianapolis"_2004,2,
"11","Indianapolis"_2005,1,
"11","Indianapolis"_2006,3,
"11","Indianapolis"_2007,6,
"11","Indianapolis"_2008,3,
"11","Indianapolis"_2009,1,
"11","Indianapolis"_2010,2,
"11","Indianapolis"_2011,2,
"11","Indianapolis"_2012,1,
"11","Indianapolis"_2013,0,
"11","Indianapolis"_2014,1,
"11","Indianapolis"_2015,0,
"11","Indianapolis"_2016,0,
"11","Indianapolis"_2017,0,
"11","Indianapolis"_2018,0,
"11","Indianapolis"_2019,0,
"12","Dubuque"_1990,0,
"12","Dubuque"_1991,0,
"12","Dubuque"_1992,0,
"12","Dubuque"_1993,1,
"12","Dubuque"_1994,0,
"12","Dubuque"_1995,2,
"12","Dubuque"_1996,0,
"12","Dubuque"_1997,0,
"12","Dubuque"_1998,0,
"12","Dubuque"_1999,0,
"12","Dubuque"_2000,0,
"12","Dubuque"_2001,0,
"12","Dubuque"_2002,1,
"12","Dubuque"_2003,0,
"12","Dubuque"_2004,0,
"12","Dubuque"_2005,0,
"12","Dubuque"_2006,1,
"12","Dubuque"_2007,5,
"12","Dubuque"_2008,1,
"12","Dubuque"_2009,0,
"12","Dubuque"_2010,0,
"12","Dubuque"_2011,0,
"12","Dubuque"_2012,0,
"12","Dubuque"_2013,0,
"12","Dubuque"_2014,0,
"12","Dubuque"_2015,0,
"12","Dubuque"_2016,0,
