"","Year","Percent Catholic","Dioceses"
"1471",2014,40.8,"tren"
"1472",2017,43.2,"tren"
"1473",1990,32.5,"lasc"
"1474",1999,28.8,"lasc"
"1475",2000,26.2,"lasc"
"1476",2001,27.4,"lasc"
"1477",2002,27.4,"lasc"
"1478",2003,27.4,"lasc"
"1479",2004,26.6,"lasc"
"1480",2010,26.4,"lasc"
"1481",2013,26.2,"lasc"
"1482",2016,42.1,"lasc"
"1483",1950,45.6,"snfe"
"1484",1966,38.4,"snfe"
"1485",1976,37.5,"snfe"
"1486",1980,39.5,"snfe"
"1487",1990,35.7,"snfe"
"1488",1999,24.6,"snfe"
"1489",2000,26.4,"snfe"
"1490",2001,26.7,"snfe"
"1491",2002,26.5,"snfe"
"1492",2003,27.7,"snfe"
"1493",2004,20.2,"snfe"
"1494",2010,22,"snfe"
"1495",2014,22,"snfe"
"1496",2017,25,"snfe"
"1497",1950,30,"albn"
"1498",1959,34.7,"albn"
"1499",1965,34.3,"albn"
"1500",1968,32.3,"albn"
"1501",1976,28.8,"albn"
"1502",1980,27.6,"albn"
"1503",1990,38,"albn"
"1504",1999,30.1,"albn"
"1505",2000,30.1,"albn"
"1506",2001,29.6,"albn"
"1507",2002,29.8,"albn"
"1508",2003,29.8,"albn"
"1509",2004,29.8,"albn"
"1510",2006,29.8,"albn"
"1511",2012,24.5,"albn"
"1512",2015,24.4,"albn"
"1513",2018,21.6,"albn"
"1514",1950,27.2,"broo"
"1515",1959,33.8,"broo"
"1516",1966,35.7,"broo"
"1517",1970,33.6,"broo"
"1518",1976,26.4,"broo"
"1519",1980,33.2,"broo"
"1520",1990,36.2,"broo"
"1521",1999,38.6,"broo"
"1522",2000,38.4,"broo"
"1523",2001,38.7,"broo"
"1524",2002,38.7,"broo"
"1525",2003,38.9,"broo"
"1526",2004,38.9,"broo"
"1527",2006,33,"broo"
"1528",2010,29.9,"broo"
"1529",2012,32.1,"broo"
"1530",2015,31.8,"broo"
"1531",2018,30.2,"broo"
"1532",1950,49,"buff"
"1533",1959,50.1,"buff"
"1534",1966,50.6,"buff"
"1535",1968,50.4,"buff"
"1536",1976,52.7,"buff"
"1537",1980,46.6,"buff"
"1538",1990,49.6,"buff"
"1539",1999,46.7,"buff"
"1540",2000,46.7,"buff"
"1541",2001,46.7,"buff"
"1542",2002,44.8,"buff"
"1543",2003,44.8,"buff"
"1544",2004,44.8,"buff"
"1545",2006,44.3,"buff"
"1546",2010,44.2,"buff"
"1547",2012,44.2,"buff"
"1548",2015,47.5,"buff"
"1549",2018,47.6,"buff"
"1550",1950,25.7,"newy"
"1551",1962,33.4,"newy"
"1552",1970,33.6,"newy"
"1553",1976,36.5,"newy"
"1554",1980,36.5,"newy"
"1555",1990,43.5,"newy"
"1556",1999,45.1,"newy"
"1557",2000,45.6,"newy"
"1558",2001,45.3,"newy"
"1559",2002,45,"newy"
"1560",2003,45,"newy"
"1561",2004,45,"newy"
"1562",2009,45,"newy"
"1563",2013,45,"newy"
"1564",2016,45,"newy"
"1565",1949,35.9,"ogde"
"1566",1966,42.7,"ogde"
"1567",1970,43.4,"ogde"
"1568",1976,44.9,"ogde"
"1569",1980,42,"ogde"
"1570",1990,42.8,"ogde"
"1571",1999,31.6,"ogde"
"1572",2000,31.9,"ogde"
"1573",2001,31.7,"ogde"
"1574",2002,31.1,"ogde"
"1575",2003,31.1,"ogde"
"1576",2004,31.1,"ogde"
"1577",2013,23.8,"ogde"
"1578",2016,18.9,"ogde"
"1579",1950,32.8,"roch"
"1580",1966,37.2,"roch"
"1581",1970,37.3,"roch"
"1582",1976,24.9,"roch"
"1583",1980,25.2,"roch"
"1584",1990,27.6,"roch"
"1585",1999,22.8,"roch"
"1586",2000,18.8,"roch"
"1587",2001,23,"roch"
"1588",2002,22.8,"roch"
"1589",2003,22.9,"roch"
"1590",2004,23,"roch"
"1591",2010,22.7,"roch"
"1592",2011,22.7,"roch"
"1593",2014,22.8,"roch"
"1594",2017,24.4,"roch"
"1595",1950,31.8,"syra"
"1596",1966,35,"syra"
"1597",1968,35.4,"syra"
"1598",1976,35,"syra"
"1599",1980,31.7,"syra"
"1600",1990,30.7,"syra"
"1601",1999,30.5,"syra"
"1602",2000,30.5,"syra"
"1603",2001,29.4,"syra"
"1604",2002,29.4,"syra"
"1605",2003,29.4,"syra"
"1606",2010,21.8,"syra"
"1607",2014,24.1,"syra"
"1608",2017,19.6,"syra"
"1609",1950,98.9,"char"
"1610",1959,98.1,"char"
"1611",1970,98.3,"char"
"1612",1980,94.2,"char"
"1613",1990,89.2,"char"
"1614",1999,88.6,"char"
"1615",2000,88.6,"char"
"1616",2001,88.6,"char"
"1617",2002,69.9,"char"
"1618",2003,69.9,"char"
"1619",2004,69.9,"char"
"1620",2006,70.1,"char"
"1621",2013,69.7,"char"
"1622",2016,63.9,"char"
"1623",1950,0.5,"rale"
"1624",1966,1.1,"rale"
"1625",1970,1.1,"rale"
"1626",1976,1.7,"rale"
"1627",1980,1.6,"rale"
"1628",1990,2.4,"rale"
"1629",1999,3.9,"rale"
"1630",2000,4.2,"rale"
"1631",2001,4.5,"rale"
"1632",2002,4.5,"rale"
"1633",2003,4.6,"rale"
"1634",2004,4.5,"rale"
"1635",2010,4.9,"rale"
"1636",2014,5.1,"rale"
"1637",2017,4.5,"rale"
"1638",1950,21.6,"bism"
"1639",1959,25.8,"bism"
"1640",1966,30.9,"bism"
"1641",1970,30.3,"bism"
"1642",1976,30.1,"bism"
"1643",1980,30.9,"bism"
"1644",1990,26.1,"bism"
"1645",1999,26.3,"bism"
"1646",2000,26.6,"bism"
"1647",2001,26.9,"bism"
"1648",2002,26.5,"bism"
"1649",2003,24.1,"bism"
"1650",2004,24.8,"bism"
"1651",2006,24.1,"bism"
"1652",2010,24.2,"bism"
"1653",2012,24.2,"bism"
"1654",2015,18.8,"bism"
"1655",2018,17.9,"bism"
"1656",1950,18.5,"farg"
"1657",1966,25.9,"farg"
"1658",1970,26.7,"farg"
"1659",1976,26.2,"farg"
"1660",1980,26.1,"farg"
"1661",1990,25.6,"farg"
"1662",1999,25.3,"farg"
"1663",2000,25.3,"farg"
"1664",2001,25.3,"farg"
"1665",2002,25.5,"farg"
"1666",2003,23.4,"farg"
"1667",2004,22.5,"farg"
"1668",2006,21.8,"farg"
"1669",2013,18.3,"farg"
"1670",2016,17.3,"farg"
"1671",1950,18.7,"cinc"
"1672",1966,20.6,"cinc"
"1673",1970,20.3,"cinc"
"1674",1976,19.1,"cinc"
"1675",1980,18.8,"cinc"
"1676",1990,19.3,"cinc"
"1677",1999,18.9,"cinc"
"1678",2000,17.5,"cinc"
"1679",2001,18.3,"cinc"
"1680",2002,17.6,"cinc"
"1681",2003,17.6,"cinc"
"1682",2004,17.4,"cinc"
"1683",2006,16.8,"cinc"
"1684",2013,15.3,"cinc"
"1685",2016,15.1,"cinc"
"1686",1950,23.9,"clev"
"1687",1966,31.5,"clev"
"1688",1970,29.1,"clev"
"1689",1976,32.1,"clev"
"1690",1980,35.5,"clev"
"1691",1990,28.7,"clev"
"1692",1999,29.3,"clev"
"1693",2000,29.2,"clev"
"1694",2001,29,"clev"
"1695",2002,28.7,"clev"
"1696",2003,28.6,"clev"
"1697",2004,28.5,"clev"
"1698",2006,28,"clev"
"1699",2013,26,"clev"
"1700",2016,24.6,"clev"
"1701",1950,7.9,"colu"
"1702",1966,10.2,"colu"
"1703",1970,9.9,"colu"
"1704",1976,10.7,"colu"
"1705",1980,10.8,"colu"
"1706",1990,10,"colu"
"1707",1999,8.6,"colu"
"1708",2000,9,"colu"
"1709",2001,8.9,"colu"
"1710",2002,8.6,"colu"
"1711",2003,9.9,"colu"
"1712",2004,10,"colu"
"1713",2006,10.3,"colu"
"1714",2013,10.2,"colu"
"1715",2016,10.2,"colu"
"1716",1950,12.4,"steu"
"1717",1966,10.7,"steu"
"1718",1970,11,"steu"
"1719",1976,10.6,"steu"
"1720",1980,9.8,"steu"
"1721",1990,9.1,"steu"
"1722",1999,8,"steu"
"1723",2000,7.7,"steu"
"1724",2001,7.8,"steu"
"1725",2002,7.9,"steu"
"1726",2003,7.9,"steu"
"1727",2004,7.9,"steu"
"1728",2010,7.2,"steu"
"1729",2014,7.2,"steu"
"1730",2017,6.8,"steu"
"1731",1950,19.1,"tole"
"1732",1966,21.2,"tole"
"1733",1968,22.3,"tole"
"1734",1976,23.4,"tole"
"1735",1980,24.2,"tole"
"1736",1990,22.4,"tole"
"1737",1999,23,"tole"
"1738",2000,22.7,"tole"
"1739",2001,22,"tole"
"1740",2002,21.2,"tole"
"1741",2003,21,"tole"
"1742",2004,20,"tole"
"1743",2010,22,"tole"
"1744",2014,21.7,"tole"
"1745",2017,22.7,"tole"
"1746",1950,16.6,"youn"
"1747",1966,25.1,"youn"
"1748",1970,22.9,"youn"
"1749",1976,23.1,"youn"
"1750",1980,21.9,"youn"
"1751",1990,22.4,"youn"
"1752",1999,21,"youn"
"1753",2000,21,"youn"
"1754",2001,21.5,"youn"
"1755",2002,20,"youn"
"1756",2003,19.6,"youn"
"1757",2004,19.2,"youn"
"1758",2010,19.1,"youn"
"1759",2014,19.1,"youn"
"1760",2017,14.6,"youn"
"1761",1950,2.7,"okla"
"1762",1966,4.7,"okla"
"1763",1970,4.6,"okla"
"1764",1976,4.6,"okla"
"1765",1980,4.1,"okla"
"1766",1990,4.2,"okla"
"1767",1999,4.6,"okla"
"1768",2000,4.5,"okla"
"1769",2001,4.4,"okla"
"1770",2002,4.5,"okla"
"1771",2003,4.5,"okla"
"1772",2004,4.3,"okla"
"1773",2013,4.3,"okla"
"1774",2016,4.4,"okla"
"1775",1976,3.5,"tuls"
"1776",1980,3.5,"tuls"
"1777",1990,4.1,"tuls"
"1778",1999,3.9,"tuls"
"1779",2000,3.8,"tuls"
"1780",2001,4.2,"tuls"
"1781",2002,3.9,"tuls"
"1782",2003,3.8,"tuls"
"1783",2004,3.7,"tuls"
"1784",2010,3.5,"tuls"
"1785",2014,3.5,"tuls"
"1786",2016,3.4,"tuls"
"1787",2017,3.3,"tuls"
"1788",1950,6,"bake"
"1789",1959,7.2,"bake"
"1790",1966,9,"bake"
"1791",1976,8,"bake"
"1792",1980,8.4,"bake"
"1793",1990,7.4,"bake"
"1794",1999,8.5,"bake"
"1795",2000,9.4,"bake"
"1796",2001,8.4,"bake"
"1797",2002,8.7,"bake"
"1798",2003,8.6,"bake"
"1799",2004,8.7,"bake"
"1800",2006,8.2,"bake"
"1801",2010,7.4,"bake"
"1802",2012,6.7,"bake"
"1803",2015,7,"bake"
"1804",1966,26.4,"alle"
"1805",1970,26.4,"alle"
"1806",1976,26.1,"alle"
"1807",1980,26.1,"alle"
"1808",1990,23.4,"alle"
"1809",1999,24,"alle"
"1810",2000,24.4,"alle"
"1811",2001,24,"alle"
"1812",2002,23.3,"alle"
"1813",2003,23.5,"alle"
"1814",2004,23.5,"alle"
"1815",2006,23.5,"alle"
"1816",2012,23.3,"alle"
"1817",2015,23.3,"alle"
"1818",1950,21.9,"alto"
"1819",1959,24.5,"alto"
"1820",1966,23.1,"alto"
"1821",1970,23.4,"alto"
"1822",1976,23.2,"alto"
"1823",1980,24.9,"alto"
"1824",1990,17.7,"alto"
"1825",1999,17.8,"alto"
"1826",2000,17.8,"alto"
"1827",2001,17.2,"alto"
"1828",2002,17.4,"alto"
"1829",2003,17.1,"alto"
"1830",2004,16.8,"alto"
"1831",2006,16.1,"alto"
"1832",2012,16.2,"alto"
"1833",2015,13,"alto"
"1834",1949,20,"erie"
"1835",1966,25.8,"erie"
"1836",1970,23.9,"erie"
"1837",1976,24.2,"erie"
"1838",1980,25.4,"erie"
"1839",1990,24.4,"erie"
"1840",1999,26.2,"erie"
"1841",2000,26.8,"erie"
"1842",2001,26.6,"erie"
"1843",2002,26,"erie"
"1844",2003,25.8,"erie"
"1845",2004,25.8,"erie"
"1846",2006,25.8,"erie"
"1847",2010,26,"erie"
"1848",2012,25.5,"erie"
"1849",2013,25.6,"erie"
"1850",2016,24,"erie"
"1851",1950,40,"gree"
"1852",1966,43,"gree"
"1853",1970,42.6,"gree"
"1854",1976,44.7,"gree"
"1855",1980,45.2,"gree"
"1856",1990,43.2,"gree"
"1857",1999,43.2,"gree"
"1858",2000,43.9,"gree"
"1859",2001,42,"gree"
"1860",2002,39.5,"gree"
"1861",2003,41,"gree"
"1862",2004,38.5,"gree"
"1863",2006,37,"gree"
"1864",2013,35,"gree"
"1865",2016,34,"gree"
"1866",1950,9.3,"harr"
"1867",1966,12.5,"harr"
"1868",1970,11.9,"harr"
"1869",1976,12,"harr"
"1870",1980,12.9,"harr"
"1871",1990,12.1,"harr"
"1872",1999,12.1,"harr"
"1873",2000,12.3,"harr"
"1874",2001,11.9,"harr"
"1875",2002,12,"harr"
"1876",2003,12.2,"harr"
"1877",2004,12.2,"harr"
"1878",2006,12.2,"harr"
"1879",2013,10.5,"harr"
"1880",2016,10.2,"harr"
"1881",1910,19.4,"phil"
"1882",1950,28.4,"phil"
"1883",1966,35.3,"phil"
"1884",1970,34.7,"phil"
"1885",1976,35.3,"phil"
"1886",1980,38.3,"phil"
"1887",1990,35.4,"phil"
"1888",1999,43.9,"phil"
"1889",2000,38.3,"phil"
"1890",2001,38.6,"phil"
"1891",2002,38.7,"phil"
"1892",2003,38.7,"phil"
"1893",2004,38.4,"phil"
"1894",2010,37.6,"phil"
"1895",2013,36.6,"phil"
"1896",2016,35.3,"phil"
"1897",1950,30.3,"pitt"
"1898",1966,40.1,"pitt"
"1899",1970,39.7,"pitt"
"1900",1976,41.9,"pitt"
"1901",1980,40.2,"pitt"
"1902",1990,38.8,"pitt"
"1903",1999,37.9,"pitt"
"1904",2000,38.4,"pitt"
"1905",2001,38.8,"pitt"
"1906",2002,40.2,"pitt"
"1907",2003,41.3,"pitt"
"1908",2004,41.5,"pitt"
"1909",2013,40.9,"pitt"
"1910",2016,40.9,"pitt"
"1911",1950,33.5,"scra"
"1912",1966,39.4,"scra"
"1913",1970,38.8,"scra"
"1914",1976,38,"scra"
"1915",1980,37.4,"scra"
"1916",1990,34.6,"scra"
"1917",1999,34.4,"scra"
"1918",2000,33.3,"scra"
"1919",2001,32.7,"scra"
"1920",2002,34.2,"scra"
"1921",2003,33.2,"scra"
"1922",2004,32.5,"scra"
"1923",2008,28.9,"scra"
"1924",2010,29.6,"scra"
"1925",2014,31.2,"scra"
"1926",2017,25.2,"scra"
"1927",1950,54.8,"prov"
"1928",1966,63.8,"prov"
"1929",1970,65.8,"prov"
"1930",1976,65,"prov"
"1931",1980,64.7,"prov"
"1932",1990,62.9,"prov"
"1933",1999,63.8,"prov"
"1934",2000,64.4,"prov"
"1935",2001,59.5,"prov"
"1936",2002,61,"prov"
"1937",2003,61.1,"prov"
"1938",2004,63.5,"prov"
"1939",2013,59.9,"prov"
"1940",2016,59.9,"prov"
"1941",1950,27,"rapi"
"1942",1966,22.1,"rapi"
"1943",1970,19.8,"rapi"
"1944",1976,25.7,"rapi"
"1945",1980,20,"rapi"
"1946",1990,15.8,"rapi"
"1947",1999,16.8,"rapi"
"1948",2000,16.2,"rapi"
"1949",2001,15.5,"rapi"
"1950",2002,13.3,"rapi"
"1951",2003,13.2,"rapi"
"1952",2004,13,"rapi"
"1953",2010,12.8,"rapi"
"1954",2014,12.8,"rapi"
"1955",2017,9.6,"rapi"
"1956",1990,1.7,"knox"
"1957",1999,2.2,"knox"
"1958",2000,2.2,"knox"
"1959",2001,2.3,"knox"
"1960",2002,2.3,"knox"
"1961",2003,2.2,"knox"
"1962",2004,2.3,"knox"
"1963",2005,2.4,"knox"
"1964",2006,2.4,"knox"
"1965",2007,2.5,"knox"
"1966",2008,2.6,"knox"
"1967",2009,2.6,"knox"
"1968",2010,2.6,"knox"
"1969",2011,2.7,"knox"
"1970",2012,2.7,"knox"
"1971",2013,2.7,"knox"
"1972",2015,2.8,"knox"
"1973",2016,2.9,"knox"
"1974",2017,3,"knox"
"1975",1976,3.4,"memp"
"1976",1980,3.7,"memp"
"1977",1990,3.8,"memp"
"1978",1999,4.2,"memp"
"1979",2000,4.4,"memp"
"1980",2001,4.5,"memp"
"1981",2002,4.5,"memp"
"1982",2003,4.5,"memp"
"1983",2004,4.5,"memp"
"1984",2013,4.9,"memp"
"1985",2016,4.1,"memp"
"1986",1950,1.2,"nash"
"1987",1966,2.2,"nash"
"1988",1970,2.3,"nash"
"1989",1976,2,"nash"
"1990",1980,2.3,"nash"
"1991",1990,3.2,"nash"
"1992",1999,3.5,"nash"
"1993",2000,3.6,"nash"
"1994",2001,3.7,"nash"
"1995",2002,3.3,"nash"
"1996",2003,3.4,"nash"
"1997",2004,3.4,"nash"
"1998",2013,3.2,"nash"
"1999",2016,3.1,"nash"
"2000",1949,5.7,"amar"
"2001",1958,7,"amar"
"2002",1966,10.3,"amar"
"2003",1976,10.1,"amar"
"2004",1980,11,"amar"
"2005",1990,8.3,"amar"
"2006",1999,11.8,"amar"
"2007",2000,12.2,"amar"
"2008",2001,13.1,"amar"
"2009",2002,13,"amar"
"2010",2003,11.3,"amar"
"2011",2004,10.1,"amar"
"2012",2006,9.4,"amar"
"2013",2012,11.7,"amar"
"2014",2015,10.9,"amar"
"2015",2018,9.5,"amar"
"2016",1950,9.7,"aust"
"2017",1959,13.4,"aust"
"2018",1966,15.8,"aust"
"2019",1970,16.5,"aust"
"2020",1976,14.8,"aust"
"2021",1980,14.4,"aust"
"2022",1990,12.2,"aust"
"2023",1999,18.3,"aust"
"2024",2000,17.3,"aust"
"2025",2001,19.3,"aust"
"2026",2002,19.5,"aust"
"2027",2003,18.4,"aust"
"2028",2004,17.5,"aust"
"2029",2006,17.6,"aust"
"2030",2012,18.5,"aust"
"2031",2015,18.5,"aust"
"2032",2018,18.5,"aust"
"2033",1966,14.7,"beau"
"2034",1970,16,"beau"
"2035",1976,13.2,"beau"
"2036",1980,14,"beau"
"2037",1990,16.1,"beau"
"2038",1999,15.2,"beau"
"2039",2000,15.2,"beau"
"2040",2001,16.2,"beau"
"2041",2002,16,"beau"
"2042",2003,15.9,"beau"
"2043",2004,14.9,"beau"
"2044",2006,13.3,"beau"
"2045",2012,12.6,"beau"
"2046",2015,11.7,"beau"
"2047",1970,57.5,"brow"
"2048",1976,86.8,"brow"
"2049",1980,71.8,"brow"
"2050",1990,78.4,"brow"
"2051",1999,85.3,"brow"
"2052",2000,85,"brow"
"2053",2001,85,"brow"
"2054",2002,85,"brow"
"2055",2003,85,"brow"
"2056",2004,85,"brow"
"2057",2006,85,"brow"
"2058",2012,85,"brow"
"2059",2015,85,"brow"
"2060",1913,70.5,"corp"
"2061",1950,70.3,"corp"
"2062",1966,38.3,"corp"
"2063",1976,38.1,"corp"
"2064",1980,30.1,"corp"
"2065",1990,50.5,"corp"
"2066",1999,42.1,"corp"
"2067",2000,45.1,"corp"
"2068",2001,45.6,"corp"
"2069",2002,45.7,"corp"
"2070",2003,60,"corp"
"2071",2004,70,"corp"
"2072",2006,70,"corp"
"2073",2013,69.5,"corp"
"2074",2016,69.5,"corp"
"2075",1950,2.4,"dall"
"2076",1966,5,"dall"
"2077",1970,5.1,"dall"
"2078",1976,5,"dall"
"2079",1980,6,"dall"
"2080",1990,8.4,"dall"
"2081",1999,18.7,"dall"
"2082",2000,20.2,"dall"
"2083",2001,21.1,"dall"
"2084",2002,26.3,"dall"
"2085",2003,26.3,"dall"
"2086",2004,27.6,"dall"
"2087",2006,27.5,"dall"
"2088",2013,30.3,"dall"
"2089",2015,31.7,"dall"
"2090",2016,32.6,"dall"
"2091",1950,33.8,"elpa"
"2092",1966,32.3,"elpa"
"2093",1970,26.4,"elpa"
"2094",1976,33,"elpa"
"2095",1980,32.6,"elpa"
"2096",1990,66.9,"elpa"
"2097",1999,76.1,"elpa"
"2098",2000,77.2,"elpa"
"2099",2001,78.9,"elpa"
"2100",2002,81.1,"elpa"
"2101",2003,80.8,"elpa"
"2102",2004,80.8,"elpa"
"2103",2006,80.8,"elpa"
"2104",2013,78.5,"elpa"
"2105",2016,78.4,"elpa"
"2106",1950,13.6,"galv"
"2107",1966,13.2,"galv"
"2108",1970,13.4,"galv"
"2109",1976,13.6,"galv"
"2110",1980,14.8,"galv"
"2111",1990,17.3,"galv"
"2112",1999,20.6,"galv"
"2113",2000,20.4,"galv"
"2114",2001,21,"galv"
"2115",2002,20.7,"galv"
"2116",2003,21.4,"galv"
"2117",2004,20.9,"galv"
"2118",2006,19.9,"galv"
"2119",2009,20.2,"galv"
"2120",2012,19.2,"galv"
"2121",2013,18.9,"galv"
"2122",2016,26.4,"galv"
"2123",2000,74.8,"lare"
"2124",2001,76,"lare"
"2125",2002,75.1,"lare"
"2126",2003,75.4,"lare"
"2127",2004,74.5,"lare"
"2128",2013,81.5,"lare"
"2129",2016,91,"lare"
"2130",1990,11,"lubb"
"2131",1999,13.6,"lubb"
"2132",2000,12.3,"lubb"
"2133",2001,12.3,"lubb"
"2134",2002,11.4,"lubb"
"2135",2003,17.9,"lubb"
"2136",2004,17.9,"lubb"
"2137",2013,17.7,"lubb"
"2138",2016,26.6,"lubb"
"2139",1966,9.9,"sang"
"2140",1970,8.6,"sang"
"2141",1976,12,"sang"
"2142",1980,13.8,"sang"
"2143",1990,10.1,"sang"
"2144",1999,11.5,"sang"
"2145",2000,12.1,"sang"
"2146",2001,11.8,"sang"
"2147",2002,12.1,"sang"
"2148",2003,13.1,"sang"
"2149",2004,12.3,"sang"
"2150",2010,14.2,"sang"
"2151",2012,13.8,"sang"
"2152",2014,14.1,"sang"
"2153",2016,10.8,"sang"
"2154",2017,10.7,"sang"
"2155",1950,35.8,"snan"
"2156",1966,41.5,"snan"
"2157",1970,41.4,"snan"
"2158",1976,41.9,"snan"
"2159",1980,41.8,"snan"
"2160",1990,35.8,"snan"
"2161",1999,35.6,"snan"
"2162",2000,34.2,"snan"
"2163",2001,34.9,"snan"
"2164",2002,33.6,"snan"
"2165",2003,32.9,"snan"
"2166",2004,33.7,"snan"
"2167",2010,30.3,"snan"
"2168",2014,29.6,"snan"
"2169",2016,29.1,"snan"
"2170",2017,29.1,"snan"
"2171",1990,2.4,"tyle"
"2172",1999,4.3,"tyle"
"2173",2000,4.4,"tyle"
"2174",2001,4.4,"tyle"
"2175",2002,4.4,"tyle"
"2176",2003,4.3,"tyle"
"2177",2004,4.3,"tyle"
"2178",2010,4.7,"tyle"
"2179",2014,8.1,"tyle"
"2180",2017,8.6,"tyle"
"2181",1990,51.3,"vict"
"2182",1999,42.5,"vict"
"2183",2000,42.5,"vict"
"2184",2001,42.5,"vict"
"2185",2002,41.7,"vict"
"2186",2003,50.9,"vict"
"2187",2004,39.9,"vict"
"2188",2010,40.9,"vict"
"2189",2014,40.9,"vict"
"2190",2017,35.8,"vict"
"2191",1950,3.7,"salt"
"2192",1966,5.2,"salt"
"2193",1970,4.7,"salt"
"2194",1976,4.3,"salt"
"2195",1980,4.4,"salt"
"2196",1990,3.8,"salt"
"2197",1999,3.8,"salt"
"2198",2000,4.9,"salt"
"2199",2001,5,"salt"
"2200",2002,5.4,"salt"
"2201",2003,5.4,"salt"
"2202",2004,6.5,"salt"
"2203",2010,9.1,"salt"
"2204",2014,10,"salt"
"2205",2015,10,"salt"
"2206",2017,10,"salt"
"2207",1950,28,"burl"
"2208",1959,32.3,"burl"
"2209",1966,34.2,"burl"
"2210",1970,32.2,"burl"
"2211",1976,31.8,"burl"
"2212",1980,31.7,"burl"
"2213",1990,26.2,"burl"
"2214",1999,25.1,"burl"
"2215",2000,25.1,"burl"
"2216",2001,24.6,"burl"
"2217",2002,24.4,"burl"
"2218",2003,24.5,"burl"
"2219",2004,24.5,"burl"
"2220",2006,20.8,"burl"
"2221",2012,19,"burl"
"2222",2015,19,"burl"
"2223",1976,12.8,"arli"
"2224",1980,11.6,"arli"
"2225",1990,13.8,"arli"
"2226",1999,15.1,"arli"
"2227",2000,14.7,"arli"
"2228",2001,15.2,"arli"
"2229",2002,15.3,"arli"
"2230",2003,15.9,"arli"
"2231",2004,16.3,"arli"
"2232",2006,15.1,"arli"
"2233",2012,15.2,"arli"
"2234",2015,14.5,"arli"
"2235",1950,2.7,"rich"
"2236",1965,5.3,"rich"
"2237",1970,5.6,"rich"
"2238",1976,3.1,"rich"
"2239",1980,3,"rich"
"2240",1990,2.7,"rich"
"2241",1999,4.2,"rich"
"2242",2000,4.4,"rich"
"2243",2001,4.4,"rich"
"2244",2002,4.4,"rich"
"2245",2003,4.5,"rich"
"2246",2004,4.5,"rich"
"2247",2010,4.7,"rich"
"2248",2014,4.3,"rich"
"2249",2016,4.3,"rich"
"2250",1950,11,"seat"
"2251",1966,13.4,"seat"
"2252",1970,13.2,"seat"
"2253",1976,12.9,"seat"
"2254",1980,12.7,"seat"
"2255",1990,8.9,"seat"
"2256",1999,11.5,"seat"
"2257",2000,19,"seat"
"2258",2001,18.5,"seat"
"2259",2002,18.5,"seat"
"2260",2003,18.3,"seat"
"2261",2004,19,"seat"
"2262",2010,18.7,"seat"
"2263",2013,18.7,"seat"
"2264",2014,18.6,"seat"
"2265",2016,15.7,"seat"
"2266",2017,15.3,"seat"
"2267",1950,11.1,"spok"
"2268",1964,14,"spok"
"2269",1968,13.5,"spok"
"2270",1976,14.7,"spok"
"2271",1980,12.2,"spok"
"2272",1990,12.6,"spok"
"2273",1999,10.9,"spok"
"2274",2000,10.6,"spok"
"2275",2001,10.6,"spok"
"2276",2002,11,"spok"
"2277",2003,9.8,"spok"
"2278",2004,12,"spok"
"2279",2010,13,"spok"
"2280",2014,13,"spok"
"2281",2017,13,"spok"
"2282",1966,13.5,"yaki"
"2283",1976,15,"yaki"
"2284",1980,14.5,"yaki"
"2285",1990,12.6,"yaki"
"2286",1999,14.5,"yaki"
"2287",2000,13.7,"yaki"
"2288",2001,13.6,"yaki"
"2289",2002,15.1,"yaki"
"2290",2003,14.2,"yaki"
"2291",2004,11.4,"yaki"
"2292",2010,12.2,"yaki"
"2293",2014,10.9,"yaki"
"2294",2017,25.1,"yaki"
"2295",1950,3.8,"whee"
"2296",1966,4.8,"whee"
"2297",1970,4.5,"whee"
"2298",1976,5.5,"whee"
"2299",1980,5.6,"whee"
"2300",1990,5,"whee"
"2301",1999,5.4,"whee"
"2302",2000,5.4,"whee"
"2303",2001,3.9,"whee"
"2304",2002,3.9,"whee"
"2305",2003,4.6,"whee"
"2306",2004,5.6,"whee"
"2307",2010,5.9,"whee"
"2308",2014,5.9,"whee"
"2309",2017,6,"whee"
"2310",1950,24.7,"lacr"
"2311",1966,29,"lacr"
"2312",1968,32.2,"lacr"
"2313",1976,29.9,"lacr"
"2314",1980,30.3,"lacr"
"2315",1990,30.1,"lacr"
"2316",1999,26.6,"lacr"
"2317",2000,25.7,"lacr"
"2318",2001,25.2,"lacr"
"2319",2002,25.4,"lacr"
"2320",2003,24,"lacr"
"2321",2004,23.5,"lacr"
"2322",2013,23,"lacr"
"2323",2016,17.9,"lacr"
"2324",1950,19.1,"madi"
"2325",1966,25.2,"madi"
"2326",1970,25,"madi"
"2327",1976,25,"madi"
"2328",1980,25,"madi"
"2329",1990,25,"madi"
"2330",1999,29.5,"madi"
"2331",2000,29.3,"madi"
"2332",2001,29.3,"madi"
"2333",2002,29,"madi"
"2334",2003,27.3,"madi"
"2335",2004,28.4,"madi"
"2336",2013,27.8,"madi"
"2337",2016,27.4,"madi"
"2338",1950,29.4,"milw"
"2339",1966,35.7,"milw"
"2340",1970,34.6,"milw"
"2341",1976,34.8,"milw"
"2342",1980,34.7,"milw"
"2343",1990,30.5,"milw"
"2344",1999,31.7,"milw"
"2345",2000,30.6,"milw"
"2346",2001,30.8,"milw"
"2347",2002,30.8,"milw"
"2348",2003,30.9,"milw"
"2349",2004,32.3,"milw"
